Pipe Name,NPS,DN,Yield strength [Mpa],Tensile strength [Mpa]
PI01,26,650,415,564.68
PI02,26,650,415,564.68
PI03,26,650,415,564.68
PI04,26,650,415,564.68
PI05,26,650,415,564.68
PI06,26,650,415,564.68
PI07,26,650,415,564.68
PI08,26,650,415,564.68
PI09,26,650,415,564.68
