Specification No.,Grade,SMYS [Mpa],SMYS [ksi],SMTS [Mpa],SMTS [ksi]
API 5L,A25,175,25,310,45
API 5L,A,210,30,335,48
API 5L,B,245,35,415,60
API 5L,X42,290,42,415,60
API 5L,X52,360,52,460,66
API 5L,X56,390,56,490,71
API 5L,X60,415,60,520,75
API 5L,X65,450,65,535,77
API 5L,X70,485,70,570,82
API 5L,X80,552,80,621,90
